Iteration	M	a	b	e	h	
1	59500.0	0.1064	0.01038	4.799E-4	0.5217	
2	55510.0	0.1056	0.01112	4.89E-4	0.5814	
3	59620.0	0.1062	0.01452	4.973E-4	0.6029	
4	58120.0	0.106	0.007693	4.656E-4	0.6022	
5	27920.0	0.1069	0.008895	4.126E-4	0.6345	
6	59830.0	0.1055	0.006333	4.736E-4	0.3881	
7	32590.0	0.1054	0.0125	4.678E-4	0.5346	
8	59410.0	0.1033	0.01156	4.195E-4	0.4824	
9	48980.0	0.1051	0.01096	4.83E-4	0.4098	
10	50510.0	0.1046	0.00971	3.858E-4	0.4574	
11	54410.0	0.1072	0.01192	4.093E-4	0.5074	
12	57320.0	0.1036	0.01057	4.856E-4	0.354	
13	48210.0	0.1044	0.0108	4.702E-4	0.3635	
14	58930.0	0.1042	0.008227	5.201E-4	0.4779	
15	50580.0	0.1053	0.009004	4.509E-4	0.3371	
16	45800.0	0.1052	0.007073	4.953E-4	0.4661	
17	58060.0	0.1071	0.006475	4.435E-4	0.3861	
18	52540.0	0.1076	0.008132	4.401E-4	0.4472	
19	57750.0	0.1029	0.01035	4.278E-4	0.479	
20	56400.0	0.1074	0.01261	4.17E-4	0.4918	
21	59570.0	0.1039	0.0146	5.582E-4	0.4905	
22	58140.0	0.1066	0.01282	5.155E-4	0.5879	
23	56850.0	0.1059	0.01125	4.224E-4	0.31	
24	52630.0	0.1058	0.01673	5.931E-4	0.2987	
25	55620.0	0.1054	0.01084	5.194E-4	0.286	
26	58080.0	0.1059	0.01304	6.398E-4	0.2562	
27	43420.0	0.1051	0.01187	5.604E-4	0.23	
28	54090.0	0.106	0.008248	4.978E-4	0.5347	
29	48950.0	0.1074	0.008307	5.005E-4	0.3781	
30	52260.0	0.1056	0.01034	5.194E-4	0.3816	
31	48160.0	0.1055	0.009419	5.961E-4	0.393	
32	59660.0	0.1053	0.01418	3.81E-4	0.3049	
33	51050.0	0.1058	0.01216	5.574E-4	0.2813	
34	32640.0	0.1054	0.008701	6.231E-4	0.2659	
35	57250.0	0.1063	0.006682	6.422E-4	0.2832	
36	41750.0	0.1047	0.01092	5.801E-4	0.1828	
37	43300.0	0.105	0.01508	5.191E-4	0.3671	
38	-10890.0	0.1064	0.009816	4.298E-4	0.3488	
39	51300.0	0.1043	0.0123	5.023E-4	0.3223	
40	53610.0	0.1065	0.01389	5.759E-4	0.3323	
41	57410.0	0.1054	0.02119	5.412E-4	0.3198	
42	55740.0	0.1056	0.02182	4.901E-4	0.4304	
43	54960.0	0.1053	0.01736	4.445E-4	0.4855	
44	58480.0	0.104	0.0101	4.575E-4	0.3532	
45	60010.0	0.1065	0.01161	5.009E-4	0.329	
46	59210.0	0.1051	0.009446	5.211E-4	0.3578	
47	56730.0	0.1054	0.005521	4.082E-4	0.4608	
48	38530.0	0.1065	0.006206	5.772E-4	0.4251	
49	47360.0	0.1047	0.00902	5.626E-4	0.2385	
50	48240.0	0.1052	0.01072	4.621E-4	0.5456	
51	44340.0	0.1069	0.007559	4.735E-4	0.4987	
52	57610.0	0.105	0.005852	5.067E-4	0.4127	
53	20430.0	0.1063	0.009796	5.107E-4	0.412	
54	55130.0	0.1043	0.009058	4.876E-4	0.4038	
