theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,costs1,costs2,effects1,effects2
1000.6179223085,0.1463018606,3.5913368003,274.7092378515,0.7166969713,0.3097544297,2.7955588023,0.3291137169,-0.0911711799,0.8118318744,1499.7850233317,0.0964971116,6.6284892471,0.7392069847,0.2875314444,2.8105691249,0.1919778682,-0.1250403039,0.2995927782,1144.9554456238,1675.4973115237,0.5962546542,0.590181407
1000.8935057473,0.1212075997,3.0869486917,436.7286648444,0.7365444599,0.3389297069,2.750280332,0.2890939343,-0.091738277,0.4596675661,1500.3459606054,0.0948804174,5.6082994696,0.9213088983,0.3167673398,2.8028808548,0.153790753,-0.1067026265,0.5051815223,1164.3006197519,1732.737054657,0.6743803413,0.8097043763
999.5722437575,0.0920586559,3.1292084318,232.874277518,0.7583700439,0.0861946573,3.1804612986,0.2034088991,-0.0826784465,0.2919647809,1500.1741500004,0.0661980533,7.2362568271,0.8179202196,0.2997797356,3.6525543733,0.1221912425,-0.0978386433,0.4103716445,1066.656505091,1611.7270103962,0.2029885054,0.8906853798
999.7000988111,0.1096800687,2.8288792928,719.0561604276,0.8979619811,0.2441935775,4.2401949166,0.2043810063,-0.1452314156,0.4856084565,1499.8904319019,0.1153801362,7.3165259433,0.9730753641,0.2506615826,4.7118208637,0.2440610083,-0.1094341011,0.6686466644,1222.8028582891,2106.9045267531,0.9153612131,1.131413914
999.4680167252,0.0728317075,4.1991209765,465.9015543631,0.6332933444,0.3590407232,2.932079206,0.2330000965,-0.1035740359,0.5030530887,1500.6547661928,0.068956872,5.667338636,0.6064998366,0.2728212147,1.8745044646,0.173682026,-0.0498587864,0.4563073809,1141.9542934489,1682.7299997563,0.6545505403,0.3062153692
1001.7059816248,0.1127411484,4.1500225858,235.9063231764,0.7427888034,0.1481715429,3.6750700381,0.3090475907,-0.1094271632,0.4321228046,1499.4789031383,0.0793485888,4.6552648113,0.7861717322,0.3313071412,3.0788724105,0.1768631402,-0.1249026889,0.5953572587,1112.0814339246,1586.6200315745,0.3898651917,0.7887845273
1000.8516351626,0.1024250561,4.5951340869,497.4858104857,0.8106726924,0.2455976285,3.9124656732,0.1517474124,-0.0957345778,0.6497712699,1502.389126735,0.0865722577,5.3085579117,0.8123792801,0.3697831385,4.2536161367,0.1110882879,-0.1127972264,0.5632703588,1234.9967479612,1731.0205928881,0.769529605,1.2707459502
1000.8395171465,0.0944466749,6.1439362647,547.6649410258,0.6642522453,0.3158559982,2.6527325317,0.2487681623,-0.1024766608,0.850917176,1500.5045112699,0.0745585788,5.6122754285,0.7024916365,0.3119469047,2.3188887316,0.1407797235,-0.1115559729,0.6252612639,1318.6354352128,1729.671225543,0.534872283,0.498341874
1000.6656800613,0.078558303,4.7032321024,515.1562703307,0.5257743661,0.3504773261,2.4531474908,0.2067470815,-0.1317679419,0.6438671155,1498.8758205974,0.0899946205,7.1633765368,0.6841513129,0.3003813716,0.9309042787,0.1509034351,-0.081777476,0.617742614,1191.0045538389,1830.9792196071,0.4345057413,0.1836834491
998.9103695404,0.1121399796,7.7186360589,338.9223225687,0.5076225894,0.3779216804,2.943088763,0.3270071602,-0.1058114229,0.5239338641,1498.6129138989,0.098899545,5.406759072,0.8050453453,0.2933144694,2.2119625741,0.2828404574,-0.1233657594,0.2430392685,1292.2705813221,1679.8434959073,0.54647812,0.5138335988
999.9135484518,0.1278162808,5.9018419281,702.3562336902,0.6441673792,0.4052914561,3.1193571901,0.3079374147,-0.1028776831,0.8144325339,1499.8160572127,0.0461106249,4.4992717832,0.7153649605,0.3481748831,1.980005332,0.1169835387,-0.0682628457,0.4303669232,1529.7370162801,1645.5298550402,0.7885867164,0.4897273581
